iter	Passed	Remaining
0	89	88957
1	144	71870
2	183	60872
3	214	53331
4	237	47250
5	260	43085
6	294	41751
7	324	40238
8	357	39348
9	385	38180
10	440	39604
11	478	39424
12	501	38072
13	520	36633
14	548	36000
15	576	35426
16	596	34481
17	633	34549
18	656	33902
19	685	33591
20	709	33062
21	736	32755
22	771	32765
23	802	32654
24	824	32150
25	844	31643
26	869	31322
27	898	31196
28	934	31304
29	954	30851
30	986	30841
31	1028	31098
32	1056	30970
33	1093	31076
34	1121	30912
35	1146	30713
36	1165	30338
37	1193	30214
38	1223	30149
39	1253	30094
40	1276	29858
41	1319	30102
42	1372	30544
43	1419	30843
44	1457	30932
45	1489	30892
46	1527	30966
47	1561	30965
48	1594	30939
49	1615	30700
50	1648	30671
51	1707	31134
52	1755	31364
53	1802	31572
54	1834	31521
55	1866	31467
56	1897	31391
57	1917	31149
58	1941	30958
59	1964	30783
60	1997	30754
61	2029	30704
62	2080	30938
63	2128	31136
64	2167	31182
65	2192	31026
66	2223	30961
67	2244	30763
68	2269	30615
69	2298	30543
70	2325	30423
71	2346	30241
72	2366	30045
73	2390	29909
74	2422	29881
75	2455	29852
76	2483	29768
77	2511	29689
78	2527	29463
79	2555	29384
80	2577	29246
81	2608	29198
82	2629	29055
83	2656	28973
84	2714	29223
85	2749	29226
86	2778	29156
87	2804	29061
88	2839	29068
89	2871	29034
90	2894	28914
91	2918	28803
92	2942	28698
93	2977	28696
94	3034	28904
95	3241	30525
96	3277	30513
97	3367	30992
98	3436	31277
99	3498	31488
100	3537	31483
101	3560	31342
102	3583	31210
103	3624	31226
104	3646	31083
105	3710	31291
106	3769	31455
107	3803	31415
108	3856	31524
109	3921	31727
110	3979	31873
111	4024	31909
112	4057	31848
113	4088	31775
114	4118	31692
115	4167	31757
116	4217	31826
117	4339	32432
118	4417	32705
119	4484	32883
120	4539	32977
121	4607	33158
122	4645	33123
123	4700	33209
124	4735	33147
125	4761	33031
126	4797	32974
127	4829	32901
128	4877	32932
129	4921	32938
130	4962	32921
131	5000	32883
132	5034	32820
133	5061	32713
134	5156	33037
135	5205	33071
136	5254	33098
137	5303	33129
138	5336	33058
139	5358	32913
140	5391	32843
141	5415	32721
142	5447	32644
143	5480	32576
144	5500	32436
145	5527	32332
146	5549	32202
147	5583	32141
148	5611	32047
149	5642	31975
150	5672	31894
151	5704	31823
152	5731	31730
153	5756	31624
154	5781	31516
155	5805	31407
156	5832	31316
157	5860	31230
158	5894	31177
159	5926	31116
160	5961	31068
161	5993	31004
162	6022	30922
163	6045	30819
164	6064	30690
165	6095	30624
166	6123	30543
167	6143	30424
168	6173	30354
169	6195	30250
170	6222	30168
171	6251	30096
172	6278	30014
173	6308	29946
174	6325	29817
175	6353	29745
176	6381	29670
177	6408	29596
178	6431	29498
179	6451	29389
180	6480	29324
181	6506	29245
182	6527	29140
183	6548	29040
184	6572	28954
185	6597	28871
186	6625	28803
187	6646	28705
188	6673	28636
189	6697	28553
190	6727	28493
191	6745	28385
192	6767	28298
193	6799	28248
194	6830	28196
195	6864	28157
196	6892	28093
197	6912	27999
198	6941	27938
199	6966	27865
200	6989	27784
201	7020	27733
202	7043	27653
203	7065	27570
204	7099	27530
205	7119	27442
206	7148	27384
207	7166	27289
208	7187	27200
209	7214	27139
210	7250	27111
211	7285	27080
212	7313	27021
213	7344	26975
214	7379	26942
215	7404	26876
216	7426	26798
217	7451	26730
218	7477	26664
219	7507	26617
220	7533	26553
221	7555	26479
222	7579	26409
223	7606	26350
224	7633	26291
225	7650	26201
226	7682	26159
227	7713	26118
228	7739	26057
229	7769	26012
230	7796	25956
231	7817	25878
232	7844	25822
233	7867	25754
234	7896	25706
235	7926	25659
236	7949	25591
237	7967	25509
238	7994	25455
239	8022	25405
240	8048	25347
241	8068	25273
242	8089	25201
243	8119	25155
244	8151	25121
245	8169	25039
246	8197	24989
247	8220	24926
248	8245	24867
249	8278	24834
250	8315	24813
251	8345	24772
252	8369	24712
253	8390	24643
254	8413	24581
255	8442	24534
256	8472	24495
257	8492	24425
258	8513	24356
259	8542	24314
260	8578	24289
261	8609	24249
262	8637	24204
263	8666	24162
264	8684	24087
265	8706	24024
266	8738	23991
267	8761	23930
268	8932	24272
269	8966	24242
270	9032	24296
271	9052	24229
272	9078	24177
273	9100	24112
274	9131	24074
275	9176	24070
276	9198	24009
277	9219	23944
278	9239	23877
279	9262	23818
280	9287	23765
281	9319	23728
282	9342	23670
283	9360	23599
284	9427	23650
285	9459	23614
286	9493	23584
287	9547	23603
288	9578	23566
289	9617	23545
290	9648	23508
291	9674	23457
292	9703	23413
293	9738	23384
294	9767	23343
295	9793	23293
296	9817	23236
297	9841	23182
298	9874	23151
299	9898	23097
300	9931	23062
301	9955	23010
302	9972	22940
303	10001	22897
304	10030	22855
305	10057	22809
306	10073	22740
307	10101	22694
308	10126	22645
309	10160	22616
310	10183	22561
311	10207	22507
312	10232	22459
313	10258	22411
314	10288	22373
315	10320	22339
316	10348	22297
317	10376	22254
318	10393	22189
319	10420	22143
320	10449	22104
321	10491	22091
322	10514	22038
323	10544	22000
324	10557	21927
325	10581	21877
326	10621	21860
327	10651	21822
328	10679	21781
329	10718	21762
330	10741	21709
331	10782	21695
332	10812	21656
333	10848	21631
334	10873	21584
335	10897	21535
336	10921	21486
337	10943	21433
338	10978	21406
339	11007	21368
340	11034	21325
341	11061	21281
342	11085	21233
343	11122	21209
344	11145	21161
345	11180	21133
346	11208	21091
347	11243	21065
348	11264	21012
349	11290	20968
350	11320	20931
351	11340	20876
352	11363	20827
353	11392	20789
354	11420	20749
355	11460	20731
356	11493	20701
357	11528	20673
358	11569	20656
359	11599	20621
360	11647	20617
361	11689	20602
362	11807	20720
363	11924	20835
364	11984	20849
365	12025	20831
366	12075	20827
367	12102	20785
368	12131	20744
369	12170	20722
370	12211	20702
371	12276	20724
372	12345	20752
373	12403	20760
374	12430	20718
375	12465	20687
376	12496	20651
377	12535	20627
378	12570	20597
379	12601	20560
380	12629	20519
381	12665	20490
382	12694	20451
383	12722	20408
384	12740	20351
385	12780	20329
386	12813	20295
387	12835	20245
388	12868	20212
389	12894	20168
390	12926	20133
391	12944	20076
392	12963	20022
393	12991	19981
394	13022	19945
395	13052	19908
396	13089	19881
397	13142	19879
398	13184	19858
399	13257	19886
400	13303	19872
401	13352	19862
402	13414	19872
403	13446	19836
404	13477	19800
405	13523	19785
406	13569	19770
407	13638	19789
408	13703	19801
409	13755	19793
410	13795	19769
411	13834	19743
412	13865	19707
413	13902	19678
414	13952	19667
415	14000	19655
416	14070	19671
417	14128	19671
418	14167	19645
419	14217	19633
420	14278	19637
421	14304	19591
422	14344	19566
423	14387	19545
424	14429	19522
425	14488	19521
426	14538	19509
427	14589	19497
428	14654	19505
429	14697	19482
430	14744	19465
431	14801	19460
432	14841	19435
433	14875	19399
434	14932	19395
435	15004	19409
436	15046	19384
437	15096	19369
438	15170	19386
439	15438	19649
440	15542	19700
441	15590	19682
442	15628	19650
443	15672	19625
444	15725	19613
445	15792	19616
446	15878	19643
447	15953	19657
448	16044	19689
449	16089	19664
450	16131	19636
451	16163	19596
452	16231	19599
453	16285	19585
454	16330	19560
455	16389	19551
456	16435	19527
457	16456	19475
458	16481	19426
459	16499	19369
460	16532	19330
461	16546	19268
462	16561	19208
463	16575	19147
464	16587	19084
465	16614	19038
466	16647	19000
467	16661	18940
468	16681	18886
469	16698	18829
470	16718	18776
471	16751	18738
472	16776	18691
473	16804	18647
474	16838	18611
475	16964	18675
476	17009	18650
477	17039	18608
478	17078	18576
479	17121	18548
480	17154	18509
481	17191	18475
482	17229	18442
483	17259	18400
484	17365	18439
485	17467	18473
486	17497	18431
487	17554	18417
488	17584	18376
489	17616	18335
490	17648	18295
491	17683	18258
492	17713	18216
493	17747	18178
494	17777	18136
495	17808	18095
496	17844	18059
497	17873	18017
498	17909	17981
499	17943	17943
500	17957	17885
501	17977	17834
502	18006	17791
503	18037	17751
504	18075	17717
505	18116	17687
506	18146	17645
507	18172	17600
508	18201	17557
509	18243	17528
510	18279	17492
511	18303	17445
512	18333	17404
513	18363	17362
514	18406	17334
515	18452	17308
516	18480	17265
517	18521	17234
518	18558	17200
519	18590	17160
520	18623	17122
521	18658	17085
522	18702	17057
523	18732	17016
524	18758	16972
525	18788	16930
526	18820	16891
527	18849	16850
528	18882	16812
529	18918	16776
530	18951	16738
531	18980	16696
532	19004	16650
533	19027	16604
534	19052	16559
535	19075	16513
536	19099	16467
537	19128	16426
538	19156	16384
539	19183	16341
540	19206	16295
541	19243	16261
542	19272	16220
543	19296	16174
544	19323	16132
545	19348	16087
546	19396	16063
547	19426	16023
548	19449	15977
549	19471	15931
550	19494	15885
551	19516	15839
552	19547	15800
553	19570	15755
554	19599	15714
555	19624	15671
556	19640	15620
557	19661	15574
558	19689	15533
559	19720	15494
560	19743	15449
561	19769	15407
562	19797	15366
563	19825	15325
564	19854	15286
565	19869	15235
